unmapped	no;no;no;no;no;no;no
5204	k__Eukaryota;p__Basidiomycota;Other;Other;Other;Other;Other
1385	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;Other;Other;Other
543	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;Other;Other
135621	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;Other;Other
155616	k__Eukaryota;p__Basidiomycota;c__Tremellomycetes;Other;Other;Other;Other
286	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;Other
4930	k__Eukaryota;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Saccharomycetaceae;g__Saccharomyces;Other
1351	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__faecalis
716545	k__Eukaryota;p__Ascomycota;Other;Other;Other;Other;Other
33958	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;Other;Other
81852	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;Other;Other
5234	k__Eukaryota;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;Other;Other;Other
1639	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Listeriaceae;g__Listeria;s__monocytogenes
562	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__coli
91061	k__Bacteria;p__Firmicutes;c__Bacilli;Other;Other;Other;Other
590	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Salmonella;Other
1613	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__fermentum
5302	k__Eukaryota;p__Basidiomycota;Other;Other;Other;Other;Other
653685	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;Other
4893	k__Eukaryota;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Saccharomycetaceae;Other;Other
2	k__Bacteria;Other;Other;Other;Other;Other;Other
1350	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;Other
1	Other;Other;Other;Other;Other;Other;Other
186817	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;Other;Other
5207	k__Eukaryota;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Cryptococcaceae;g__Cryptococcus;s__neoformans
1897064	k__Eukaryota;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Cryptococcaceae;g__Cryptococcus;Other
72274	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;Other;Other;Other
561	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;Other
1637	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Listeriaceae;g__Listeria;Other
1386	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;Other
1280	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus;s__aureus
147537	k__Eukaryota;p__Ascomycota;Other;Other;Other;Other;Other
1783272	k__Bacteria;Other;Other;Other;Other;Other;Other
1239	k__Bacteria;p__Firmicutes;Other;Other;Other;Other;Other
1224	k__Bacteria;p__Proteobacteria;Other;Other;Other;Other;Other
136841	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;Other
91347	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;Other;Other;Other
90964	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;Other;Other
4892	k__Eukaryota;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;Other;Other;Other
186826	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;Other;Other;Other
451864	k__Eukaryota;Other;Other;Other;Other;Other;Other
4891	k__Eukaryota;p__Ascomycota;c__Saccharomycetes;Other;Other;Other;Other
1279	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus;Other
2759	k__Eukaryota;Other;Other;Other;Other;Other;Other
186820	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Listeriaceae;Other;Other
4890	k__Eukaryota;p__Ascomycota;Other;Other;Other;Other;Other
33154	k__Eukaryota;Other;Other;Other;Other;Other;Other
5206	k__Eukaryota;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Cryptococcaceae;g__Cryptococcus;Other
4751	k__Eukaryota;Other;Other;Other;Other;Other;Other
1423	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__subtilis
28901	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Salmonella;s__enterica
1236	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;Other;Other;Other;Other
1884633	k__Eukaryota;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Cryptococcaceae;Other;Other
1578	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;Other
131567	Other;Other;Other;Other;Other;Other;Other
287	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__aeruginosa
4932	k__Eukaryota;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Saccharomycetaceae;g__Saccharomyces;s__cerevisiae
